,,,,,,,
#MainGameSubPageVisit,,,,,,,
MainGameSubPageVisitTab_0,All,,全部,,,,
MainGameSubPageVisitTab_1,Olympus,,奧林匹斯,,,,
MainGameSubPageVisitTab_2,Ocean,,Ocean,,,,
MainGameSubPageVisitTab_3,Thebes,,Thebes,,,,
MainGameSubPageVisitTab_4,Underworld,,Underworld,,,,
MainGameSubPageVisitBlockItemAmount,Owned : ,,擁有 : ,,,,
MainGameSubPageVisitRemainCount,Remaining number of goodbyes today: {0},,今日再會剩餘次數: {0},,,,
MainGameSubPageVisitCountExhaustedAlert,The number of goodbyes for today has been exhausted,,今天的再會次數已用完,,,,
MainGameSubPageVisitConditionNormal,Clear Chapter {0}，Level {1} of the Main Quest,,通關主線第{0}章第{1}關,,,,
MainGameSubPageVisitConditionHard,Clear Chapter {0}，Level {1} Hard,,通關困難主線第{0}章,,,,
#Campsite,,,,,,,
CampsitePageTitle,Research center,,研究中心,,,,
CampsiteName_0,Olympus,,奧林匹斯,,,,
CampsiteName_1,Ocean,,Ocean,,,,
CampsiteName_2,Thebes,,Thebes,,,,
CampsiteName_3,Underworld,,Underworld,,,,
CampsiteName_4,Tank,,先鋒,,,,
CampsiteName_5,Warrior,,鬥神,,,,
CampsiteName_6,Ranger,,破擊者,,,,
CampsiteName_7,Support,,賢者,,,,
,,,,,,,
CampsiteName_SubTitle_0,Olympus camp,,奧林匹斯陣營,,,,
CampsiteName_SubTitle_1,Ocean camp,,Ocean陣營,,,,
CampsiteName_SubTitle_2,Thebes camp,,Thebes陣營,,,,
CampsiteName_SubTitle_3,Underworld camp,,Underworld陣營,,,,
CampsiteName_SubTitle_4,Tank,,先鋒,,,,
CampsiteName_SubTitle_5,Warrior,,鬥神,,,,
CampsiteName_SubTitle_6,Ranger,,破擊者,,,,
CampsiteName_SubTitle_7,Support,,賢者,,,,
,,,,,,,
CampsiteAlertText,Unlocked at level 32,,32級解鎖,,,,
CampsiteHintsText,<size=14><#282c37>Place a character to assist in training.\n<#727a83>{0}: Character attribute bonus <#1166cc>doubled</size>,,<#282c37>放置角色協助分析，可加成陣上星神\n<#727a83>{0}角色屬性加成效果<#1166cc>翻倍,,,,
CampsiteHintsText2,<size=13><#727a83>The higher the character’s star rating，the higher the bonus.</size>,,<#727a83>星神星級越高，加成比例越高,,,,
CampsiteStatAtt,Atk,,攻擊,,,,
CampsiteStatHp,Hp,,生命,,,,
CampsiteStatDef,Def,,防禦,,,,
CampsiteFormationHeroBlockTitle,<size=13>Role in battle</size>,,陣上角色,,,,
CampsiteSelectedHeroBlockTitle,>Select Hero,,放置角色,,,,
CampsiteOtherHeroStatBuffTitle,<size=14>Other bonuses :</size>,,其他角色加成 :,,,,
CampsiteHeroStatBuffTitle,<size=14>{0} Character bonus :</size>,,{0}角色加成 :,,,,
CampsiteSelectText,Configuration,,配置,,,,
CampsiteUnlockStat,Unlock bonuses:,,解鎖加成：,,,,
CampsiteUnlockCost,{0}Unlocked,,{0}解鎖,,,,
CampsiteLockedStat,No bonus yet,,暫無加成,,,,
CampsiteAllHeroStatText,All research slot bonus: +2% for all characters,,全部研究位加成 : 全體角色+2%,,,,
CampsiteOneClickSelectButton,<size=16>Quick configuration</size>,,一鍵配置,,,,
CampsiteSelectedHeroTitle,Selected Hero,,當前角色,,,,
CampsiteFilteredHeroTitle,Placeable characters,,可放置角色,,,,
CampsiteNoCampsiteText,Idle,,閒置,,,,
CampsiteCancelCampsiteButton,Exit placement,,退出放置,,,,
CampsiteSelectButton,Place,,放置,,,,
CampsitePopupTitle,Research center,,研究中心,,,,
CampsitePage_Unlock_1,Main story 5-8 unlocked,,主線 5-8 解鎖,,,,
CampsitePage_Unlock_ALL,<size=22>Unlocked at level 32</size>,,32級解鎖,,,,
CampsiteUnlockSlotPopupTitle,Unlock research slots,,解鎖研究位,,,,
CampsiteUnlockSlotPopupContent,Are you sure you want to unlock the research slot?,,確定解鎖研究位?,,,,
