,,,,,,,
#MainGameSubPageVisit,,,,,,,
MainGameSubPageVisitTab_0,全部,,全部,,,,
MainGameSubPageVisitTab_1,Olympus,,奧林匹斯,,,,
MainGameSubPageVisitTab_2,Ocean,,Ocean,,,,
MainGameSubPageVisitTab_3,Thebes,,Thebes,,,,
MainGameSubPageVisitTab_4,Underworld,,Underworld,,,,
MainGameSubPageVisitBlockItemAmount,拥有 : ,,擁有 : ,,,,
MainGameSubPageVisitRemainCount,今日再会剩余次数: {0},,今日再會剩餘次數: {0},,,,
MainGameSubPageVisitCountExhaustedAlert,今天的再会次数已用完,,今天的再會次數已用完,,,,
MainGameSubPageVisitConditionNormal,通关主线第{0}章第{1}关,,通關主線第{0}章第{1}關,,,,
MainGameSubPageVisitConditionHard,通关困难主线第{0}章,,通關困難主線第{0}章,,,,
#Campsite,,,,,,,
CampsitePageTitle,研究中心,,研究中心,,,,
CampsiteName_0,Olympus,,奧林匹斯,,,,
CampsiteName_1,Ocean,,Ocean,,,,
CampsiteName_2,Thebes,,Thebes,,,,
CampsiteName_3,Underworld,,Underworld,,,,
CampsiteName_4,先锋,,先鋒,,,,
CampsiteName_5,斗神,,鬥神,,,,
CampsiteName_6,破击者,,破擊者,,,,
CampsiteName_7,贤者,,賢者,,,,
,,,,,,,
CampsiteName_SubTitle_0,Olympus阵营,,奧林匹斯陣營,,,,
CampsiteName_SubTitle_1,Ocean阵营,,Ocean陣營,,,,
CampsiteName_SubTitle_2,Thebes阵营,,Thebes陣營,,,,
CampsiteName_SubTitle_3,Underworld阵营,,Underworld陣營,,,,
CampsiteName_SubTitle_4,先锋,,先鋒,,,,
CampsiteName_SubTitle_5,斗神,,鬥神,,,,
CampsiteName_SubTitle_6,破击者,,破擊者,,,,
CampsiteName_SubTitle_7,贤者,,賢者,,,,
,,,,,,,
CampsiteAlertText,32级解锁,,32級解鎖,,,,
CampsiteHintsText,<#282c37>放置角色协助训练，可加成阵上星神\n<#727a83>{0}角色属性加成效果<#1166cc>翻倍,,<#282c37>放置角色協助分析，可加成陣上星神\n<#727a83>{0}角色屬性加成效果<#1166cc>翻倍,,,,
CampsiteHintsText2,<#727a83>角色星级越高，加成比例越高,,<#727a83>星神星級越高，加成比例越高,,,,
CampsiteStatAtt,攻击,,攻擊,,,,
CampsiteStatHp,生命,,生命,,,,
CampsiteStatDef,防御,,防禦,,,,
CampsiteFormationHeroBlockTitle,阵上角色,,陣上角色,,,,
CampsiteSelectedHeroBlockTitle,放置角色,,放置角色,,,,
CampsiteOtherHeroStatBuffTitle,其他角色加成 :,,其他角色加成 :,,,,
CampsiteHeroStatBuffTitle,{0}角色加成 :,,{0}角色加成 :,,,,
CampsiteSelectText,配置,,配置,,,,
CampsiteUnlockStat,解锁加成：,,解鎖加成：,,,,
CampsiteUnlockCost,{0}解锁,,{0}解鎖,,,,
CampsiteLockedStat,暂无加成,,暫無加成,,,,
CampsiteAllHeroStatText,全部研究位加成 : 全体角色+2%,,全部研究位加成 : 全體角色+2%,,,,
CampsiteOneClickSelectButton,一键配置,,一鍵配置,,,,
CampsiteSelectedHeroTitle,当前角色,,當前角色,,,,
CampsiteFilteredHeroTitle,可放置角色,,可放置角色,,,,
CampsiteNoCampsiteText,闲置,,閒置,,,,
CampsiteCancelCampsiteButton,退出放置,,退出放置,,,,
CampsiteSelectButton,放置,,放置,,,,
CampsitePopupTitle,研究中心,,研究中心,,,,
CampsitePage_Unlock_1,主线 5-8 解锁,,主線 5-8 解鎖,,,,
CampsitePage_Unlock_ALL,32级解锁,,32級解鎖,,,,
CampsiteUnlockSlotPopupTitle,解锁研究位,,解鎖研究位,,,,
CampsiteUnlockSlotPopupContent,确定解锁研究位?,,確定解鎖研究位?,,,,
CampsiteDisableText,暂未开放,,暫未開放,,,,
CampsiteChangeTitle,提示,,提示,,,,
CampsiteChangeContent,是否将此星神更换到此分析中心？,,是否將此星神更換到此分析中心？,,,,
,,,,,,,
CampsiteHelpInfoPopupTitle,系统说明,,系統說明,,,,
CampsiteHelpInfoPopupDetailTitle,说明,,說明,,,,
CampsiteHelpInfoPopupDetailContent,"- 研究中心设有职业和势力分析中心
- 在中心放置星神进行分析，即时获得属性加成
- 分析中心的属性加成会提升所有阵上星神的属性百分比
- 当星神的职业或势力和指定分析中心一致时，该分析中心提升的属性百分比会加倍",,"- 研究中心設有職業和勢力分析中心
- 在中心放置星神進行分析，即時獲得屬性加成
- 分析中心的屬性加成會提升所有陣上星神的屬性百分比
- 當星神的職業或勢力和指定分析中心一致時，該分析中心提升的屬性百分比會加倍",,,,
,,,,,,,
#Intell,,,,,,,
AvgNotFoundAlert,,,,,,,
AVGOptionCostTitle,消耗,,消耗,,,,
AVGOptionNotEnoughCostAlert,道具不足,,道具不足,,,,
AVGProgress,章节进度:{0}%,,章節進度:{0}%,,,,
,,,,,,,
#SpiritList,,,,,,,
SpiritListPageTitle,星之沙漏,,星之沙漏,,,,
SpiritListChpaterUnlockTips,总集星度达到{0}开启,,總集星度達到{0}開啟,,,,
SpiritListChpaterPoint,集星度,,集星度,,,,
SpiritListAllChapterPoint,总集星度:,,總集星度:,,,,
SpiritListPageTotalStateButton,总属性,,總屬性,,,,
SpiritListRankingButton,养成排行,,養成排行,,,,
SpiritListBackpackButton,背包,,背包,,,,
SpiritListArchiveButton,星魂列星,,星魂列星,,,,
SpiritListQuickSetupButton,快速配置,,快速配置,,,,
SpiritListAllEffectButton,全部,,全部,,,,
SpiritListLockEffectButton,心愿清单,,心願清單,,,,
SpiritListEffectActiveButton,启动,,啟動,,,,
SpiritListEffectStarUpButton,升星,,升星,,,,
SpiritListStarMax,已满星,,已滿星,,,,
SpiritListChapterResetButton,重置,,重置,,,,
SpiritListSkillTitle,集星技能,,集星技能,,,,
SpiritListSkillAwakeButton,觉醒,,覺醒,,,,
SpiritListChapterResetTitle,提示,,提示,,,,
SpiritListChapterResetContent,"重置后，将重置已启动星魂组合及集星技能，是否继续？
<#ee5555>（重置后所有养成资源将返还）
（每次重置存在1小时冷却时间）</color>",,"重置後，將重置已啟動星魂組合及集星技能，是否繼續？
<#ee5555>（重置後所有養成資源將返還）
（每次重置存在1小時冷卻時間）</color>",,,,
SpiritListSkillDetailPopupConfirmButton,确定,,確定,,,,
SpiritListSkillDetailPopupTitle,星级加成,,星級加成,,,,
SpiritList_score,集星度,,集星度,,,,
SpiritListSkillAwakePopupTitle,集星技能升阶,,集星技能升階,,,,
SpiritListSkillUnlock,技能解锁:    <#60d5dc>,,技能解鎖:    <#60d5dc>,,,,
SpiritList_skill_score_req,集星度大于{0}可觉醒,,集星度大於{0}可覺醒,,,,
SpiritList_skill_score_req_star,集星度大于{0}可觉醒{1}阶技能,,集星度大於{0}可覺醒{1}階技能,,,,
SpiritList_skill_score_req_alert,所需的集星度不足,,所需的集星度不足,,,,
SpiritList_skill_detail_cell_title,{0}星属性加成,,{0}星屬性加成,,,,
SpiritList_skill_detail_stat_all_hero,全体,,全體,,,,
SpiritList_skill_unlock_bubble_title,解放成功,,解放成功,,,,
SpiritList_skill_skill_unlock,技能解锁:    <#60d5dc>,,技能解鎖:    <#60d5dc>,,,,
SpiritListResetSkillComfirmTitle,提示,,提示,,,,
SpiritListResetSkillConfirmContent,是否确认重置此技能？ <br><#ee5555>（重置后所有养成资源将返还）</color>,,是否確認重置此技能？<br><#ee5555>（重置後所有養成資源將返還）</color>,,,,
SpiritListTotalStatBubbleTitle,总属性,,總屬性,,,,
SpiritListTotalNormalStatTitle,基础属性,,基礎屬性,,,,
SpiritListTotalFactionStatTitle,阵营属性,,陣營屬性,,,,
SpiritListTotalStatBubbleHints,属性对所有上阵角色生效,,屬性對所有上陣角色生效,,,,
SpiritListHelpPopupTitle,星之沙漏,,星之沙漏,,,,
SpiritListHelpPopupContent,"说明
- 消耗星魂可以启动星魂组合。
- 每启动一个组合都可以获得该组合对应的属性加成。
- 集星度达到一定数值后，可以启动集星技能。
- 技能会在战斗中直接生效。
- 星魂组合和集星技能可以重置。重置后会返还所有消耗过的星魂和破邪结晶。",,"說明
- 消耗星魂可以啟動星魂組合。
- 每啟動一個組合都可以獲得該組合對應的屬性加成。
- 集星度達到一定數值後，可以啟動集星技能。
- 技能會在戰鬥中直接生效。
- 星魂組合和集星技能可以重置。重置後會返還所有消耗過的星魂和破邪結晶。",,,,
SpiritListEntryDetailPopupTitle,星魂组合升星,,星魂組合升星,,,,
,,,,,,,
SpiritListMissionButton,星魂成就,,星魂成就,,,,
SpiritListMissionPopupTitle,星魂成就,,星魂成就,,,,
SpiritList_missionEmpty,暂无星魂成就,,暫無星魂成就,,,,
,,,,,,,
SpiritList_chapter_1,Olympus,,奧林匹斯,,,,
SpiritList_chapter_2,Thebes,,Thebes,,,,
SpiritList_chapter_3,Ocean,,Ocean,,,,
SpiritList_chapter_4,Underworld,,Underworld,,,,
,,,,,,,
SpiritList_filter_ALL,全部,,全部,,,,
SpiritList_filter_WISH_LIST,心愿清单,,心願清單,,,,
SpiritList_filter_THEBES_SUPPRESS,ThebesRestraint,,Thebes剋制,,,,
SpiritList_filter_OLYMPUS_SUPPRESS,OlympusRestraint,,奧林匹斯剋制,,,,
SpiritList_filter_OCEAN_SUPPRESS,OceanRestraint,,Ocean剋制,,,,
SpiritList_filter_UNDERWORLD_SUPPRESS,UnderworldRestraint,,Underworld剋制,,,,
SpiritList_filter_THEBES_RESIST,ThebesResistance,,ThebesResistance,,,,
SpiritList_filter_OLYMPUS_RESIST,OlympusResistance,,奧林匹斯Resistance,,,,
SpiritList_filter_OCEAN_RESIST,OceanResistance,,OceanResistance,,,,
SpiritList_filter_UNDERWORLD_RESIST,UnderworldResistance,,UnderworldResistance,,,,
SpiritList_filter_ATK,攻击力,,攻擊力,,,,
SpiritList_filter_HP,生命值,,生命值,,,,
SpiritList_filter_PHY_MAG_DEF,物理及魔法防御,,物理及魔法防禦,,,,
,,,,,,,
SpiritList_EmptyResetAlert,未有可重置的星魂组合,,未有可重置的星魂組合,,,,
SpiritList_ResetCoolDownAlert,重置功能冷却中,,重置功能冷卻中,,,,
SpiritListEntryStarUpLevelReqAlert,到达68级后解锁升星功能,,到達68級後解鎖升星功能,,,,
,,,,,,,
SpiritList_name_91001,SpiritList_name_91001,,SpiritList_name_91001,,,,
SpiritList_name_91002,SpiritList_name_91002,,SpiritList_name_91002,,,,
SpiritList_name_91003,SpiritList_name_91003,,SpiritList_name_91003,,,,
