,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
#Support,,,,,,,
SupportPageTitle,Command center,,指揮中心,,,,
support_gallery,<size=23>Gallery</size>,,資料庫,,,,
support_campsite,<size=23>Research center</size>,,研究中心,,,,
support_spiritList,<size=23>Star Hourglass</size>,,星之沙漏,,,,
support_talisman,<size=23>Talisman</size>,,主神卡,,,,
support_heroList,<size=23>Star Gods list</size>,,星神一覽,,,,
,,,,,,,
SupportPage_GalleryUnlock,Main story 3-10 cleared,,主線 3-10 解鎖,,,,
SupportPage_GalleryAlert,Unlock the Gallery after clearing Chapter 3,,通關第3章後解鎖資料庫,,,,
SupportPage_CampsiteUnlock,Main story 5-10 cleared,,主線 5-6 解鎖,,,,
SupportPage_CampsiteAlert,Unlock the research center after clearing 5-6,,通關5-6後解鎖研究中心,,,,
SupportPage_SpiritListUnlock,Unlocked at level 50,,50級解鎖,,,,
SupportPage_SpiritListAlert,Unlock the Star Hourglass after reaching level 50,,到達50級後解鎖星之沙漏,,,,
,,,,,,,
HeroListPageTitle,Star Gods list,,星神一覽,,,,
HeroListPageTips,Upgrading the rarity of the Star God can greatly improve the team's combat effectiveness.,,升級星神稀有度可以大大提高隊伍戰鬥力,,,,
,,,,,,,
#MonsterGodMainPage,,,,,,,
MonsterGodMainPageTitle,Hangar,,格納庫,,,,
MonsterGodMainPageKizunaButton,Bond,,獸神共鳴,,,,
MonsterGodMainPageBackpackButton,<size=18>Beast \nList</size>,,獸神一覽,,,,
MonsterGodMainPageFormationButton,Beast god formation,,獸神配置,,,,
,,,,,,,
#MonsterGodFormationPage,,,,,,,
MonsterGodFormationPageTitle,Beast god formation,,獸神配置,,,,
FormationMonsterGodIconController_Equipped,<size=12>Deployed</size>,,編成中,,,,
MonsterGodBackpackCell_Equipped,<size=12>Deployed</size>,,編成中,,,,
,,,,,,,
#MonsterGodInfoMainPage,,,,,,,
MonsterGodInfoMainPageTitle,Beast God Cultivation,,獸神培養,,,,
MonsterGodInfoMainPageTabInfo,Information,,資訊,,,,
MonsterGodInfoMainPageTabEnhancement,Reinforce,,強化,,,,
MonsterGodInfoMainPageTabUpgrade,Upgrade,,升星,,,,
MonsterGodInfoMainPageTabSkin,Skin,,造型,,,,
MonsterGodEnhancement_Block20,Unlock the beast god enhancement after reaching level 20,,到達20級後解鎖獸神強化,,,,
,,,,,,,
#MonsterGodInfoSubPage,,,,,,,
MonsterGodInfoSubPageInfoEnhancementBonus,Strengthening bonus,,強化加成,,,,
MonsterGodInfoSubPageInfoEnhancementTalent,Strengthen talents,,強化天賦,,,,
MonsterGodInfoSubPageInfoEnhancementStatBonus,Reinforce,,強化,,,,
MonsterGodInfoSubPageInfoSkill,Beast God Skills,,獸神技能,,,,
MonsterGodInfoSubPageEnhancementConsume,Strengthen consumption,,強化消耗,,,,
MonsterGodInfoSubPageEnhancementTips,<size=14>After the 3 stages of strengthening each level are fully progressed，they can be automatically advanced.</size>,,強化每階的3段進度全滿後可自動進階,,,,
MonsterGodInfoSubPageEnhancementButton,Enhace,,強化,,,,
