TimeFormat_1,{0:00} 日 {1:00} 小时,,{0:00} 日 {1:00} 小時,,,,
TimeFormat_2,{0:00} 小时 {1:00} 分钟,,{0:00} 小時 {1:00} 分鐘,,,,
TimeFormat_3,{0:00} 分钟,,{0:00} 分鐘,,,,
TimeFormat_4,{0:00} 秒,,{0:00} 秒,,,,
,,,,,,,
#Area Page,,,,,,,
AreaPageTitle,兽神,,獸神,,,,
area_fate,契约纹,,契約紋,,,,
area_monsterGod,格纳库,,格納庫,,,,
area_title,神格,,神格,,,,
AreaPage_TitleUnlock,主线 6-3 解锁,,主線 6-3 解鎖,,,,
AreaPage_TitleAlert,通关6-3后解锁神格,,通關6-3後解鎖神格,,,,
,,,,,,,
#FormationTeamEditPage,,,,,,,
FormationTeamEditPageTitle,编队,,編隊,,,,
FormationTeamEditPageMonsterGod,兽神,,獸神,,,,
FormationTeamEditPagePet,宠物,,寵物,,,,
FormationTeamEditPageDetailButton,配置,,配置,,,,
FormationTeamEditPagePetListButton,星神调整,,星神調整,,,,
FormationTeamEditPageClassHints_Title_1,推荐：前排,,推薦：前排,,,,
FormationTeamEditPageClassHints_Title_2,推荐：后排,,推薦：後排,,,,
FormationTeamEditPageClassHints_Title_3,推荐：前排或后排,,推薦：前排或後排,,,,
FormationTeamEditPageClassHints_Title_4,推荐：前排或后排,,推薦：前排或後排,,,,
FormationTeamEditPageClassHints_Content_1,承受「普通攻击」时回复「圣灵值」,,承受「普通攻擊」時回復「聖靈值」,,,,
FormationTeamEditPageClassHints_Content_2,使用「普通攻击」后回复「圣灵值」,,使用「普通攻擊」後回復「聖靈值」,,,,
FormationTeamEditPageClassHints_Content_3,队友使用「普通攻击」后，自身回复「圣灵值」,,隊友使用「普通攻擊」後，自身回復「聖靈值」,,,,
FormationTeamEditPageClassHints_Content_4,战斗开始时回复大量「圣灵值」,,戰鬥開始時回復大量「聖靈值」,,,,
FormationTeamEdit_notEnoughSixHero_title,提示,,提示,,,,
FormationTeamEdit_notEnoughSixHero_content,队伍不足6人，是否前往编队？,,隊伍不足6人，是否前往編隊？,,,,
,,,,,,,
#BattleCoreTeamEditPage,,,,,,,
battle_teamedit_page_title,队伍,,隊伍,,,,
teamedit_adjust_hero,星神调整,,星神調整,,,,
teamedit_monstergod,兽神,,獸神,,,,
teamedit_pet,宠物,,寵物,,,,
